Designator,Mid X,Mid Y,Rotation,Layer
C1,224.71,-33.37,0.0,top
C10,199.8,-41.8,90.0,top
C11,231.875,-51.345,180.0,top
C12,232.005,-49.565,180.0,top
C13,246.08,-51.78,0.0,top
C14,246.61,-44.96,180.0,top
C15,276.16,-77.87,90.0,top
C16,272.92,-66.33,90.0,top
C17,266.02,-25.96,180.0,top
C18,260.46,-28.91,270.0,top
C19,250.05,-65.7715,270.0,top
C2,204.64,-56.8,0.0,top
C20,251.6,-65.7665,90.0,top
C21,254.01,-64.7565,90.0,top
C22,255.46,-68.0165,90.0,top
C23,268.36,-84.3665,180.0,top
C24,272.36,-85.07,0.0,top
C25,261.32044,-48.62,90.0,top
C26,279.71044,-50.16,180.0,top
C27,275.59044,-46.905,90.0,top
C28,273.80044,-43.515,270.0,top
C29,265.42044,-51.07,180.0,top
C3,199.25,-56.67,0.0,top
C30,260.24044,-35.36,180.0,top
C31,260.25044,-37.38,180.0,top
C32,203.955,-78.48,0.0,top
C33,207.33,-78.48,0.0,top
C34,225.875,-82.79,0.0,top
C35,225.82,-79.73,180.0,top
C36,189.875,-79.7,0.0,top
C37,193.18,-79.7,0.0,top
C38,247.64,-75.96,180.0,top
C39,241.03,-74.12,180.0,top
C4,199.2,-58.51,0.0,top
C40,244.555,-72.29,0.0,top
C41,243.5,-87.97,0.0,top
C5,210.9,-42.53,180.0,top
C6,212.53,-40.8,180.0,top
C7,209.75,-39.06,180.0,top
C8,209.75,-37.04,180.0,top
C9,196.44,-41.87,90.0,top
D1,277.56,-69.11,0.0,top
D2,255.86,-52.06,270.0,top
D3,268.54,-82.0265,0.0,top
DC1,230.77,-31.0175,270.0,top
FB1,206.4175,-43.44,0.0,top
FID1,279.88,-91.85,0.0,top
FID2,280.23,-22.92,0.0,top
FID3,184.76,-23.25,0.0,top
J1,209.03,-23.86,180.0,top
J2,210.99,-87.13,90.0,top
J3,277.7075,-63.775,90.0,top
J4,228.77,-86.935,90.0,top
J5,193.29,-87.035,90.0,top
J6,188.58,-39.3,0.0,top
J7,192.29,-39.34,180.0,top
L1,265.05044,-45.92,90.0,top
L2,243.28,-82.5,270.0,top
L3,264.73,-76.38,180.0,top
Q1,262.53,-88.5965,180.0,top
Q2,257.1275,-88.6365,180.0,top
Q3,266.83044,-39.89,90.0,top
Q4,266.872999,-33.095,90.0,top
R1,216.5,-26.66,270.0,top
R10,258.21,-65.0565,270.0,top
R11,251.3625,-68.2465,0.0,top
R12,248.36,-62.154,270.0,top
R13,251.54,-62.4965,90.0,top
R14,251.38,-84.6765,0.0,top
R15,251.79,-75.6165,90.0,top
R16,249.73,-80.6,90.0,top
R17,248.28,-65.604,90.0,top
R18,271.56044,-36.9925,90.0,top
R19,269.09044,-54.46,90.0,top
R2,202.68,-27.0725,270.0,top
R20,279.67794,-48.06,180.0,top
R21,279.74794,-45.98,0.0,top
R22,274.6,-53.32,270.0,top
R23,275.54044,-43.5925,270.0,top
R24,272.49,-55.13,270.0,top
R25,193.1625,-76.6,180.0,top
R26,207.3175,-76.48,0.0,top
R27,225.7175,-76.47,180.0,top
R28,279.75044,-43.93,180.0,top
R29,244.565,-71.2,0.0,top
R3,212.54,-34.55,0.0,top
R30,247.13,-71.71,0.0,top
R31,223.5075,-40.86,0.0,top
R4,212.55,-35.84,0.0,top
R5,224.1525,-51.29,0.0,top
R6,224.1675,-53.27,180.0,top
R7,263.31,-68.6765,180.0,top
R8,263.26,-66.6865,180.0,top
R9,256.15,-64.7765,270.0,top
SW1,191.1425,-111.9975,0.0,top
SW2,218.52,-112.18,0.0,top
SW3,248.58,-37.2025,180.0,top
U1,202.69,-49.33,270.0,top
U10,225.52,-67.64,0.0,top
U11,244.478,-76.051,180.0,top
U2,218.83,-33.89,270.0,top
U3,228.0375,-52.3,0.0,top
U4,240.2525,-65.675,90.0,top
U5,256.22,-75.503,90.0,top
U6,271.64544,-49.46,180.0,top
U7,255.58,-43.46,270.0,top
U8,193.07,-67.69,0.0,top
U9,209.07,-67.65,0.0,top
Y1,200.96,-38.19,0.0,top
Y2,205.62,-38.16,180.0,top
